Subject,Gender,Accuracy,Confusion_Matrix,Classification_Report
2.0,Male,0.9510003425843946,"[[768221, 9300, 23279], [52, 430399, 49], [26674, 207, 226519]]","{'0': {'precision': 0.9663801486136812, 'recall': 0.9593169330669331, 'f1-score': 0.962835587345613, 'support': 800800.0}, '1': {'precision': 0.9783885648297591, 'recall': 0.9997653890824623, 'f1-score': 0.9889614731516098, 'support': 430500.0}, '2': {'precision': 0.9066308580851481, 'recall': 0.8939187056037885, 'f1-score': 0.9002299069840456, 'support': 253400.0}, 'accuracy': 0.9598834781437328, 'macro avg': {'precision': 0.9504665238428628, 'recall': 0.9510003425843946, 'f1-score': 0.9506756558270895, 'support': 1484700.0}, 'weighted avg': {'precision': 0.9596644167898051, 'recall': 0.9598834781437328, 'f1-score': 0.9597258105798424, 'support': 1484700.0}}"
3.0,Male,0.8837942429611463,"[[728557, 58206, 11237], [59614, 345920, 42383], [8137, 757, 253606]]","{'0': {'precision': 0.9149185993359353, 'recall': 0.9129786967418546, 'f1-score': 0.9139476186533593, 'support': 798000.0}, '1': {'precision': 0.8543702748695302, 'recall': 0.7722859369034888, 'f1-score': 0.8112570356472796, 'support': 447917.0}, '2': {'precision': 0.8254705005435737, 'recall': 0.9661180952380952, 'f1-score': 0.8902735701021193, 'support': 262500.0}, 'accuracy': 0.8804481784546315, 'macro avg': {'precision': 0.864919791583013, 'recall': 0.8837942429611463, 'f1-score': 0.8718260748009193, 'support': 1508417.0}, 'weighted avg': {'precision': 0.8813730016775864, 'recall': 0.8804481784546315, 'f1-score': 0.8793343150290732, 'support': 1508417.0}}"
4.0,Male,0.6380520929453518,"[[807084, 0, 3517], [36386, 408114, 0], [260308, 0, 92]]","{'0': {'precision': 0.7312013828867762, 'recall': 0.9956612439412239, 'f1-score': 0.8431810002094674, 'support': 810601.0}, '1': {'precision': 1.0, 'recall': 0.9181417322834645, 'f1-score': 0.9573241818689349, 'support': 444500.0}, '2': {'precision': 0.025491825990579108, 'recall': 0.0003533026113671275, 'f1-score': 0.0006969459374491021, 'support': 260400.0}, 'accuracy': 0.8019064322623344, 'macro avg': {'precision': 0.5855644029591184, 'recall': 0.6380520929453518, 'f1-score': 0.6004007093386171, 'support': 1515501.0}, 'weighted avg': {'precision': 0.688782550230815, 'recall': 0.8019064322623344, 'f1-score': 0.7319001739448855, 'support': 1515501.0}}"
5.0,Male,0.9544927681543793,"[[796021, 41860, 719], [7620, 442667, 1213], [13649, 3678, 244473]]","{'0': {'precision': 0.973976189602222, 'recall': 0.9492260911042213, 'f1-score': 0.9614418832168804, 'support': 838600.0}, '1': {'precision': 0.9067236099589312, 'recall': 0.980436323366556, 'f1-score': 0.9421403525574515, 'support': 451500.0}, '2': {'precision': 0.9921592500152189, 'recall': 0.9338158899923605, 'f1-score': 0.9621038754046104, 'support': 261800.0}, 'accuracy': 0.9557065532572975, 'macro avg': {'precision': 0.957619683192124, 'recall': 0.9544927681543793, 'f1-score': 0.9552287037263141, 'support': 1551900.0}, 'weighted avg': {'precision': 0.9574775656620047, 'recall': 0.9557065532572975, 'f1-score': 0.9559380933219229, 'support': 1551900.0}}"
6.0,Male,0.907570342220807,"[[720480, 68672, 36848], [51, 422833, 32116], [0, 20531, 239869]]","{'0': {'precision': 0.9999292188677517, 'recall': 0.8722518159806295, 'f1-score': 0.9317369001979269, 'support': 826000.0}, '1': {'precision': 0.8257876399315673, 'recall': 0.9293032967032967, 'f1-score': 0.8744927799999173, 'support': 455000.0}, '2': {'precision': 0.7766948480246606, 'recall': 0.9211559139784946, 'f1-score': 0.842779670187779, 'support': 260400.0}, 'accuracy': 0.8973543531854159, 'macro avg': {'precision': 0.8674705689413266, 'recall': 0.907570342220807, 'f1-score': 0.8830031167952077, 'support': 1541400.0}, 'weighted avg': {'precision': 0.910812410392661, 'recall': 0.8973543531854159, 'f1-score': 0.8998110293112415, 'support': 1541400.0}}"
7.0,Male,0.8887735362672885,"[[758314, 1071, 70815], [51, 447949, 0], [64231, 82, 196088]]","{'0': {'precision': 0.9218547136139733, 'recall': 0.9134112262105517, 'f1-score': 0.9176135469834148, 'support': 830200.0}, '1': {'precision': 0.9974326544971966, 'recall': 0.9998861607142857, 'f1-score': 0.998657900662355, 'support': 448000.0}, '2': {'precision': 0.7346788908329993, 'recall': 0.7530232218770281, 'f1-score': 0.74373795761079, 'support': 260401.0}, 'accuracy': 0.9114455274629355, 'macro avg': {'precision': 0.8846554196480564, 'recall': 0.8887735362672885, 'f1-score': 0.8866698017521867, 'support': 1538601.0}, 'weighted avg': {'precision': 0.9121823853675309, 'recall': 0.9114455274629355, 'f1-score': 0.9117838959562442, 'support': 1538601.0}}"
8.0,Female,0.7308975175651368,"[[676941, 112860, 28499], [85273, 344203, 39524], [72991, 22442, 163566]]","{'0': {'precision': 0.8105087972413958, 'recall': 0.827252841256263, 'f1-score': 0.8187952258989238, 'support': 818300.0}, '1': {'precision': 0.7178298453613622, 'recall': 0.733908315565032, 'f1-score': 0.7257800433313477, 'support': 469000.0}, '2': {'precision': 0.7062770684272569, 'recall': 0.6315313958741153, 'f1-score': 0.6668161471540274, 'support': 258999.0}, 'accuracy': 0.7661584208487492, 'macro avg': {'precision': 0.7448719036766716, 'recall': 0.7308975175651368, 'f1-score': 0.7371304721280997, 'support': 1546299.0}, 'weighted avg': {'precision': 0.7649404162472485, 'recall': 0.7661584208487492, 'f1-score': 0.7651273712084385, 'support': 1546299.0}}"
9.0,Male,0.9168266121211497,"[[757033, 3680, 65287], [68060, 380486, 2954], [0, 2276, 258124]]","{'0': {'precision': 0.9175123289132255, 'recall': 0.9165048426150121, 'f1-score': 0.9170083090413441, 'support': 826000.0}, '1': {'precision': 0.9845875965862924, 'recall': 0.8427153931339978, 'f1-score': 0.9081440004200768, 'support': 451500.0}, '2': {'precision': 0.7909058875798569, 'recall': 0.9912596006144393, 'f1-score': 0.8798207118693173, 'support': 260400.0}, 'accuracy': 0.9074991872033292, 'macro avg': {'precision': 0.8976686043597916, 'recall': 0.9168266121211497, 'f1-score': 0.9016576737769127, 'support': 1537900.0}, 'weighted avg': {'precision': 0.915767199861389, 'recall': 0.9074991872033292, 'f1-score': 0.9081092352094318, 'support': 1537900.0}}"
10.0,Male,0.7253630208496991,"[[790838, 0, 35162], [0, 506131, 1369], [202759, 0, 57641]]","{'0': {'precision': 0.7959343677567464, 'recall': 0.9574309927360775, 'f1-score': 0.869245222980693, 'support': 826000.0}, '1': {'precision': 1.0, 'recall': 0.9973024630541872, 'f1-score': 0.9986494098937384, 'support': 507500.0}, '2': {'precision': 0.6120821475597842, 'recall': 0.22135560675883256, 'f1-score': 0.32513001590650137, 'support': 260400.0}, 'accuracy': 0.8498713846539934, 'macro avg': {'precision': 0.8026721717721769, 'recall': 0.7253630208496991, 'f1-score': 0.7310082162603108, 'support': 1593900.0}, 'weighted avg': {'precision': 0.8308726889965747, 'recall': 0.8498713846539934, 'f1-score': 0.821554040934298, 'support': 1593900.0}}"
11.0,Female,0.9909328863822612,"[[806877, 14252, 4871], [274, 475726, 0], [0, 895, 256705]]","{'0': {'precision': 0.9996605343981485, 'recall': 0.9768486682808717, 'f1-score': 0.9881229598487831, 'support': 826000.0}, '1': {'precision': 0.9691427314193284, 'recall': 0.9994243697478992, 'f1-score': 0.9840506457414779, 'support': 476000.0}, '2': {'precision': 0.9813782610025384, 'recall': 0.9965256211180125, 'f1-score': 0.9888939396274096, 'support': 257600.0}, 'accuracy': 0.9869889715311618, 'macro avg': {'precision': 0.9833938422733385, 'recall': 0.9909328863822612, 'f1-score': 0.9870225150725568, 'support': 1559600.0}, 'weighted avg': {'precision': 0.9873266104146736, 'recall': 0.9869889715311618, 'f1-score': 0.9870074064221974, 'support': 1559600.0}}"
13.0,Male,0.9181278546947392,"[[815746, 33, 10222], [100191, 362212, 2397], [389, 2950, 264061]]","{'0': {'precision': 0.8902355711831815, 'recall': 0.9875847607932678, 'f1-score': 0.9363867976562379, 'support': 826001.0}, '1': {'precision': 0.9918317611139255, 'recall': 0.7792857142857142, 'f1-score': 0.8728052578629992, 'support': 464800.0}, '2': {'precision': 0.9543913546335117, 'recall': 0.9875130890052356, 'f1-score': 0.9706697544478753, 'support': 267400.0}, 'accuracy': 0.9254383741250326, 'macro avg': {'precision': 0.9454862289768728, 'recall': 0.9181278546947392, 'f1-score': 0.9266206033223708, 'support': 1558201.0}, 'weighted avg': {'precision': 0.9315506297503547, 'recall': 0.9254383741250326, 'f1-score': 0.923304122796054, 'support': 1558201.0}}"
14.0,Male,0.7168514018025812,"[[810158, 3401, 12441], [41, 365507, 106952], [0, 157237, 103164]]","{'0': {'precision': 0.9999493951485993, 'recall': 0.9808208232445521, 'f1-score': 0.9902927455645676, 'support': 826000.0}, '1': {'precision': 0.6946887264917466, 'recall': 0.7735597883597883, 'f1-score': 0.7320058679510737, 'support': 472500.0}, '2': {'precision': 0.4635396774758826, 'recall': 0.3961735938034032, 'f1-score': 0.42721727355173744, 'support': 260401.0}, 'accuracy': 0.8203400985694409, 'macro avg': {'precision': 0.7193925997054095, 'recall': 0.7168514018025812, 'f1-score': 0.7165052956891262, 'support': 1558901.0}, 'weighted avg': {'precision': 0.8178228246787259, 'recall': 0.8203400985694409, 'f1-score': 0.8179495591402924, 'support': 1558901.0}}"
15.0,Male,0.9230529841956532,"[[822500, 0, 0], [72, 480117, 11], [60059, 7, 200334]]","{'0': {'precision': 0.9318730024211703, 'recall': 1.0, 'f1-score': 0.9647352608098733, 'support': 822500.0}, '1': {'precision': 0.9999854204330548, 'recall': 0.9998271553519367, 'f1-score': 0.9999062816299499, 'support': 480200.0}, '2': {'precision': 0.9999450947116224, 'recall': 0.7693317972350231, 'f1-score': 0.8696090028106653, 'support': 260400.0}, 'accuracy': 0.961519416544047, 'macro avg': {'precision': 0.9772678391886158, 'recall': 0.9230529841956532, 'f1-score': 0.9447501817501628, 'support': 1563100.0}, 'weighted avg': {'precision': 0.9641380884436517, 'recall': 0.961519416544047, 'f1-score': 0.9596928749195316, 'support': 1563100.0}}"
16.0,Male,0.9473799785782044,"[[825938, 0, 62], [2429, 406600, 62072], [5167, 209, 252224]]","{'0': {'precision': 0.9908869944117457, 'recall': 0.9999249394673123, 'f1-score': 0.9953854515785757, 'support': 826000.0}, '1': {'precision': 0.9994862453878848, 'recall': 0.8630845614846923, 'f1-score': 0.926290849859325, 'support': 471101.0}, '2': {'precision': 0.8023463694259412, 'recall': 0.9791304347826087, 'f1-score': 0.8819668577063351, 'support': 257600.0}, 'accuracy': 0.9550145011806128, 'macro avg': {'precision': 0.9309065364085237, 'recall': 0.9473799785782044, 'f1-score': 0.9345477197147453, 'support': 1554701.0}, 'weighted avg': {'precision': 0.9622532254347955, 'recall': 0.9550145011806128, 'f1-score': 0.9556561623158624, 'support': 1554701.0}}"
17.0,Female,0.952597144802544,"[[819905, 0, 6795], [363, 505737, 0], [34704, 0, 225696]]","{'0': {'precision': 0.958984621718606, 'recall': 0.9917805733639773, 'f1-score': 0.975106917401253, 'support': 826700.0}, '1': {'precision': 1.0, 'recall': 0.9992827504445762, 'f1-score': 0.999641246564417, 'support': 506100.0}, '2': {'precision': 0.9707730621830523, 'recall': 0.8667281105990784, 'f1-score': 0.9158049142711066, 'support': 260400.0}, 'accuracy': 0.9737245794627165, 'macro avg': {'precision': 0.9765858946338861, 'recall': 0.952597144802544, 'f1-score': 0.9635176927455921, 'support': 1593200.0}, 'weighted avg': {'precision': 0.9739404294295997, 'recall': 0.9737245794627165, 'f1-score': 0.9732079608197737, 'support': 1593200.0}}"
19.0,All,0.8699935819918833,"[[11704613, 313335, 309754], [360477, 6324601, 291040], [749068, 211271, 2942162]]","{'0': {'precision': 0.9134125706893891, 'recall': 0.9494561922408572, 'f1-score': 0.9310856873755562, 'support': 12327702.0}, '1': {'precision': 0.9234063155048461, 'recall': 0.9066075143797739, 'f1-score': 0.9149298117765767, 'support': 6976118.0}, '2': {'precision': 0.8304257800548469, 'recall': 0.7539170393550187, 'f1-score': 0.7903240862179447, 'support': 3902501.0}, 'accuracy': 0.9036924034619706, 'macro avg': {'precision': 0.8890815554163606, 'recall': 0.8699935819918833, 'f1-score': 0.8787798617900259, 'support': 23206321.0}, 'weighted avg': {'precision': 0.902461309162688, 'recall': 0.9036924034619706, 'f1-score': 0.902557788280694, 'support': 23206321.0}}"
